,Symbol,Trade_Date,CBI_SS,CBI_MACD,CBI,Trade_Price,Price_Delta,Avg_Volume,RSI_val,"RSI_slope, intercept",SS_val,"SS_slope, intercept",MSCD_Div_val,"MACD_Div_slope, intercept",Security,GICS Sector,CBI_cutoff
0,MMM,2020-02-12,0.4902414661445887,0.2489338531018134,0.36958765962320106,163.8000030517578,-10.347983292092064,3110333.3333333335,42.24244862837211,[ 2.0085017  28.83072134],20.195170677108226,[ 1.75262502 16.20757917],-0.3681541351108857,[ 0.3372005  -1.47892354],3M Company,Industrials,0.25<CBI<1
1,MMM,2020-02-14,0.30780949456433804,0.21243875752187663,0.2601241260431073,161.00999450683594,-8.79447791218894,2888366.6666666665,41.18619345377822,[ 1.05633666 34.77928513],23.84381010871324,[ 1.26691429 19.14699419],-0.15323622420434324,[ 0.2329728  -0.72131953],3M Company,Industrials,0.25<CBI<1
2,MMM,2020-03-04,0.2240334851605013,0.04567724767286471,0.134855366416683,153.97999572753906,-14.982460517956527,7748100.0,45.421599025792204,[ 1.85266043 26.67649912],25.519330296789974,[ 3.83082808 14.01989874],-0.028298197448346052,[ 0.09074943 -0.61952501],3M Company,Industrials,0<CBI<0.25
3,MMM,2020-05-19,0.18180170119961653,0.16825223237585693,0.17502696678773672,148.3800048828125,8.64671883599651,5483416.666666667,54.02018101258388,[ 0.78103002 42.38745118],33.63603402399233,[3.69303634 9.14495431],-0.30508279870818933,[ 0.44693287 -1.81324666],3M Company,Industrials,0<CBI<0.25
4,MMM,2020-07-01,0.025743337518377096,0.629513454705885,0.32762839611213107,155.42999267578125,3.2619234144818607,2553066.6666666665,50.007579123841566,[ 0.05794237 48.77501289],30.514866750367542,[ 0.39084654 21.39346644],-0.8096128883084657,[ 0.1805933  -1.28609306],3M Company,Industrials,0.25<CBI<1
5,MMM,2020-07-02,0.40330005147448594,0.5505199790900792,0.4769100152822826,157.0399932861328,2.2032646852976643,2440366.6666666665,52.57258927372318,[ 1.05851074 45.75055935],38.06600102948972,[ 4.91864606 19.72167729],-0.6030525770469477,[ 0.14854878 -1.0954236 ],3M Company,Industrials,0.25<CBI<1
6,MMM,2020-07-06,0.7533254114895069,0.40810553542419015,0.5807154734568485,158.10000610351562,1.5180226463198139,2263700.0,54.23741813237512,[ 0.95102632 47.30191306],45.06650822979014,[ 7.66873617 22.76772932],-0.3834613262554021,[ 0.16062428 -0.93961315],3M Company,Industrials,0.25<CBI<1
7,MMM,2020-07-07,0.9513791743562166,0.5460921843435668,0.7487356793498916,154.82000732421875,3.6687717394861017,2270166.6666666665,48.5575196468475,[ 1.39210158 47.13393057],49.02758348712433,[ 7.27582074 30.60663793],-0.4433092863544078,[ 0.21307578 -0.81178471],3M Company,Industrials,0.25<CBI<1
8,MMM,2020-07-08,0.9526281575778626,0.862837620822414,0.9077328892001383,154.5800018310547,3.8297309476134327,2061050.0,48.160063335223924,[ 0.11341792 50.80859089],49.05256315155725,[ 5.48079123 38.57257302],-0.48015134016179806,[ 0.07987165 -0.55647938],3M Company,Industrials,0.25<CBI<1
9,MMM,2020-08-07,0.40557855071755994,0.0754100734291313,0.24049431207334562,158.3300018310547,4.907474377946313,2698166.6666666665,54.63537255154609,[ 2.07049075 38.87958057],38.1115710143512,[ 5.23798608 12.93894597],-0.07590129368027365,[ 0.2949079  -1.00651399],3M Company,Industrials,0<CBI<0.25
10,MMM,2020-10-01,0.7705535740699585,0.9193274140316164,0.8449404940507874,158.7899932861328,7.6705135396173585,2154816.6666666665,42.47636536539469,[ 0.27358628 43.9001061 ],14.588928518600829,[ 1.549243   13.78447095],-0.9287432184152238,[ 0.03331966 -1.01024206],3M Company,Industrials,0.25<CBI<1
11,MMM,2020-10-06,0.31950172577602204,0.32524109543477403,0.32237141060539803,162.22999572753906,5.387416460173412,2062800.0,49.487637875321894,[ 0.60426901 44.22088766],23.60996548447956,[ 0.87062864 14.12601564],-0.30961395294597016,[ 0.22067943 -0.95195213],3M Company,Industrials,0.25<CBI<1
12,MMM,2020-11-04,0.2334236299187591,0.5728236241546666,0.40312362703671284,160.16000366210938,8.553943952914214,2648066.6666666665,42.75238860445265,[ 2.56310427 35.55426044],34.66847259837518,[8.22794    8.49020686],-0.7649402860555603,[ 0.31029533 -1.33538537],3M Company,Industrials,0.25<CBI<1
13,MMM,2020-11-05,0.4773337284678522,0.5777880198145586,0.5275608741412054,163.1999969482422,6.5318651111801955,2522483.3333333335,48.126031960283264,[ 2.31691737 36.60070271],39.546674569357045,[ 9.85565026 15.29508939],-0.573753780498792,[ 0.1510758  -0.99301779],3M Company,Industrials,0.25<CBI<1
